Date,SNDK,MU,VRT,LITE,COHR,BE,ADBE,CRM,ORCL,NOW,WDAY,MDB
2026-08-03,0.0611836415,0.0070455898,0.0891667012,0.0921509836,0.0955341356,0.0621444201,0.0040941045,0.0106521739,0.0920429611,0.0263796513,0.0286854577,0.0618720175
2026-08-04,0.1085513805,0.0757891943,0.0258447037,0.0902769760,0.1236290435,0.0440415694,0.0242456789,0.0269950527,0.0273547659,0.0345461710,0.0381910766,0.0607790323
2026-08-05,-0.0549510566,0.0013006817,0.0309177133,-0.0286753112,0.0139309322,0.0270554703,0.0072627000,0.0097392397,-0.0091957178,-0.0080413069,-0.0035618358,-0.0106699295
2026-08-06,-0.0673334815,-0.0129339306,-0.0108353848,0.0150092672,0.0184006093,-0.0230552472,0.0034316561,-0.0314768720,-0.0065452279,0.0013226385,-0.0024025784,-0.0161309627
2026-08-07,-0.0365501025,-0.0034488627,-0.0102819358,0.0643170860,0.1339854617,-0.0419980771,0.0189248386,0.0318038229,0.0244012968,0.0639567088,0.0551574248,0.0773951125
2026-08-10,0.0209595897,-0.0186814813,-0.0078007415,-0.0875225675,-0.1425029018,-0.0396423521,0.0296230649,0.0247781641,0.0278014088,0.0209451342,0.0257195346,0.0456404466
2026-08-11,0.0262754093,0.0071983759,0.0425291822,0.0083321044,0.0108133883,0.0045838875,-0.0339169292,-0.0001265919,-0.0369487485,0.0005883968,-0.0163093623,0.0537745357
2026-08-12,0.0579690187,0.0496368945,0.0235999716,0.1361121268,0.0834056152,0.1207414237,-0.0189566272,-0.0210928796,0.0539741474,-0.0206209817,-0.0334354051,-0.0030968917
2026-08-13,0.1363179935,0.0423460990,-0.0045071594,-0.0550108348,-0.0809034215,-0.0034596237,0.0452736126,0.0415168525,0.0191793333,0.0183331999,0.1793247139,0.0772288083
2026-08-14,0.0743437848,0.0232553243,0.0234911016,0.0510954705,-0.0040344764,-0.0268839966,-0.0238284499,-0.0255066561,-0.0377648339,-0.0249606918,-0.0385285576,-0.0235793045
2026-08-17,0.0892994775,0.0413177226,-0.0043385793,0.0461059930,0.0770269441,0.0104633457,-0.0377987350,-0.0261997604,-0.0244794785,-0.0511590405,-0.0369764398,-0.0476025017
2026-08-18,-0.0907575622,-0.0702027388,-0.0688140807,-0.0988023952,-0.1281200137,-0.1002131278,0.0357606770,0.0257269230,-0.0273099216,0.0152957172,-0.0035547192,-0.0089611456
2026-08-19,-0.0352305023,-0.0042291610,-0.0423724148,-0.0520678199,-0.0604585042,-0.0142597378,0.0358561195,0.0516431925,0.0079568159,0.0643622364,0.0411562574,0.0135977728
2026-08-20,0.0211565316,0.0395686716,0.0142764066,0.0625717566,0.0085044957,-0.0178640777,-0.0015775764,-0.0017468944,-0.0119279455,0.0201698514,-0.0057694246,-0.0463522041
2026-08-21,-0.0031970228,-0.0078475854,-0.0099945210,-0.0141203901,-0.0019141891,-0.0048438118,0.0115749247,0.0166488431,0.0310069334,-0.0093652445,0.0137597243,0.0255641245
